text,label
"Хозяин был очень вежлив и гостеприимен. Есть всё необходимое для комфортного проживания. Очень удобная кровать и свежие полотенца. Wi-Fi работал стабильно и быстро. Обязательно приедем ещё раз. Спасибо, Юлий!",positive
"Соседи шумели всю ночь. Плохая звукоизоляция, всё слышно. Кровать скрипит и неудобная. Фото не соответствуют реальности. Спасибо, Виталий!",negative
"Обязательно приедем ещё раз. Просторная кухня, приятно готовить. Квартира была чистая и уютная. Очень удобная кровать и свежие полотенца. Спасибо, Парамон!",positive
"Цена полностью оправдана. Обязательно приедем ещё раз. Просторная кухня, приятно готовить. Квартира была чистая и уютная. Очень удобная кровать и свежие полотенца. Спасибо, Аггей!",positive
"Отличное расположение, рядом с центром. Квартира была чистая и уютная. Хозяин был очень вежлив и гостеприимен. Обязательно приедем ещё раз. Wi-Fi работал стабильно и быстро. Спасибо, Константин!",positive
"Хозяин не отвечал на звонки. Соседи шумели всю ночь. Wi-Fi почти не работал. Фото не соответствуют реальности. Спасибо, Нинель!",negative
"Фото не соответствуют реальности. Плохая звукоизоляция, всё слышно. Очень грязно, не убрано перед заселением. Местоположение оставляет желать лучшего. Wi-Fi почти не работал. Спасибо, Федот!",negative
"Квартира была чистая и уютная. Просторная кухня, приятно готовить. Тихий район, хорошо выспались. Wi-Fi работал стабильно и быстро. Очень удобная кровать и свежие полотенца. Спасибо, Родион!",positive
"Местоположение оставляет желать лучшего. Кровать скрипит и неудобная. Плохая звукоизоляция, всё слышно. Сломанный душ и неприятный запах. Спасибо, Твердислав!",negative
"Очень грязно, не убрано перед заселением. Плохая звукоизоляция, всё слышно. Фото не соответствуют реальности. Местоположение оставляет желать лучшего. Спасибо, Нонна!",negative
"Фото не соответствуют реальности. Сломанный душ и неприятный запах. Спасибо, Панкрат!",negative
"Wi-Fi работал стабильно и быстро. Цена полностью оправдана. Спасибо, Зиновий!",positive
"Очень удобная кровать и свежие полотенца. Хозяин был очень вежлив и гостеприимен. Спасибо, Станимир!",positive
"Отличное расположение, рядом с центром. Квартира была чистая и уютная. Просторная кухня, приятно готовить. Спасибо, Фирс!",positive
"Wi-Fi почти не работал. Очень грязно, не убрано перед заселением. Местоположение оставляет желать лучшего. Сломанный душ и неприятный запах. Соседи шумели всю ночь. Спасибо, Никодим!",negative
"Плохая звукоизоляция, всё слышно. Кровать скрипит и неудобная. Спасибо, Архип!",negative
"Просторная кухня, приятно готовить. Цена полностью оправдана. Спасибо, Адам!",positive
"Есть всё необходимое для комфортного проживания. Квартира была чистая и уютная. Тихий район, хорошо выспались. Очень удобная кровать и свежие полотенца. Спасибо, Анастасия!",positive
"Очень грязно, не убрано перед заселением. Wi-Fi почти не работал. Спасибо, Пелагея!",negative
"Просторная кухня, приятно готовить. Квартира была чистая и уютная. Хозяин был очень вежлив и гостеприимен. Спасибо, Зинаида!",positive
"Wi-Fi почти не работал. Неверно указана цена в объявлении. Местоположение оставляет желать лучшего. Соседи шумели всю ночь. Спасибо, Иванна!",negative
"Wi-Fi почти не работал. Соседи шумели всю ночь. Фото не соответствуют реальности. Спасибо, Феврония!",negative
"Фото не соответствуют реальности. Плохая звукоизоляция, всё слышно. Хозяин не отвечал на звонки. Соседи шумели всю ночь. Сломанный душ и неприятный запах. Спасибо, Орест!",negative
"Кровать скрипит и неудобная. Wi-Fi почти не работал. Сломанный душ и неприятный запах. Спасибо, Ипполит!",negative
"Плохая звукоизоляция, всё слышно. Сломанный душ и неприятный запах. Местоположение оставляет желать лучшего. Спасибо, Конон!",negative
"Есть всё необходимое для комфортного проживания. Очень удобная кровать и свежие полотенца. Хозяин был очень вежлив и гостеприимен. Спасибо, Лаврентий!",positive
"Местоположение оставляет желать лучшего. Кровать скрипит и неудобная. Спасибо, Евстигней!",negative
"Обязательно приедем ещё раз. Цена полностью оправдана. Отличное расположение, рядом с центром. Тихий район, хорошо выспались. Есть всё необходимое для комфортного проживания. Спасибо, Анатолий!",positive
"Хозяин был очень вежлив и гостеприимен. Обязательно приедем ещё раз. Спасибо, Агап!",positive
"Квартира была чистая и уютная. Wi-Fi работал стабильно и быстро. Спасибо, Виктор!",positive
"Сломанный душ и неприятный запах. Кровать скрипит и неудобная. Спасибо, Любим!",negative
"Местоположение оставляет желать лучшего. Очень грязно, не убрано перед заселением. Фото не соответствуют реальности. Спасибо, Владислав!",negative
"Неверно указана цена в объявлении. Кровать скрипит и неудобная. Фото не соответствуют реальности. Спасибо, Соломон!",negative
"Обязательно приедем ещё раз. Есть всё необходимое для комфортного проживания. Просторная кухня, приятно готовить. Спасибо, Самуил!",positive
"Хозяин был очень вежлив и гостеприимен. Обязательно приедем ещё раз. Спасибо, Парамон!",positive
"Есть всё необходимое для комфортного проживания. Квартира была чистая и уютная. Цена полностью оправдана. Спасибо, Митофан!",positive
"Плохая звукоизоляция, всё слышно. Хозяин не отвечал на звонки. Неверно указана цена в объявлении. Кровать скрипит и неудобная. Wi-Fi почти не работал. Спасибо, Ерофей!",negative
"Обязательно приедем ещё раз. Цена полностью оправдана. Квартира была чистая и уютная. Wi-Fi работал стабильно и быстро. Спасибо, Спартак!",positive
"Хозяин был очень вежлив и гостеприимен. Отличное расположение, рядом с центром. Просторная кухня, приятно готовить. Тихий район, хорошо выспались. Квартира была чистая и уютная. Спасибо, Ладимир!",positive
"Фото не соответствуют реальности. Кровать скрипит и неудобная. Спасибо, Герасим!",negative
"Сломанный душ и неприятный запах. Соседи шумели всю ночь. Очень грязно, не убрано перед заселением. Кровать скрипит и неудобная. Спасибо, Виктор!",negative
"Фото не соответствуют реальности. Хозяин не отвечал на звонки. Неверно указана цена в объявлении. Спасибо, Майя!",negative
"Местоположение оставляет желать лучшего. Неверно указана цена в объявлении. Сломанный душ и неприятный запах. Спасибо, Лазарь!",negative
"Отличное расположение, рядом с центром. Просторная кухня, приятно готовить. Тихий район, хорошо выспались. Хозяин был очень вежлив и гостеприимен. Спасибо, Андроник!",positive
"Фото не соответствуют реальности. Wi-Fi почти не работал. Спасибо, Ольга!",negative
"Отличное расположение, рядом с центром. Хозяин был очень вежлив и гостеприимен. Квартира была чистая и уютная. Спасибо, Иванна!",positive
"Соседи шумели всю ночь. Местоположение оставляет желать лучшего. Плохая звукоизоляция, всё слышно. Неверно указана цена в объявлении. Спасибо, Пров!",negative
"Сломанный душ и неприятный запах. Wi-Fi почти не работал. Плохая звукоизоляция, всё слышно. Неверно указана цена в объявлении. Спасибо, Юрий!",negative
"Wi-Fi работал стабильно и быстро. Отличное расположение, рядом с центром. Хозяин был очень вежлив и гостеприимен. Цена полностью оправдана. Тихий район, хорошо выспались. Спасибо, Полина!",positive
"Тихий район, хорошо выспались. Очень удобная кровать и свежие полотенца. Обязательно приедем ещё раз. Цена полностью оправдана. Спасибо, Варвара!",positive
"Сломанный душ и неприятный запах. Очень грязно, не убрано перед заселением. Спасибо, Устин!",negative
"Кровать скрипит и неудобная. Wi-Fi почти не работал. Фото не соответствуют реальности. Спасибо, Селиверст!",negative
"Очень удобная кровать и свежие полотенца. Wi-Fi работал стабильно и быстро. Обязательно приедем ещё раз. Квартира была чистая и уютная. Тихий район, хорошо выспались. Спасибо, Кирилл!",positive
"Цена полностью оправдана. Квартира была чистая и уютная. Спасибо, Арсений!",positive
"Есть всё необходимое для комфортного проживания. Просторная кухня, приятно готовить. Отличное расположение, рядом с центром. Цена полностью оправдана. Очень удобная кровать и свежие полотенца. Спасибо, Иванна!",positive
"Хозяин не отвечал на звонки. Очень грязно, не убрано перед заселением. Местоположение оставляет желать лучшего. Фото не соответствуют реальности. Wi-Fi почти не работал. Спасибо, Аполлинарий!",negative
"Хозяин был очень вежлив и гостеприимен. Просторная кухня, приятно готовить. Очень удобная кровать и свежие полотенца. Спасибо, Фортунат!",positive
"Сломанный душ и неприятный запах. Соседи шумели всю ночь. Местоположение оставляет желать лучшего. Спасибо, Кузьма!",negative
"Квартира была чистая и уютная. Очень удобная кровать и свежие полотенца. Цена полностью оправдана. Спасибо, Натан!",positive
"Просторная кухня, приятно готовить. Тихий район, хорошо выспались. Очень удобная кровать и свежие полотенца. Есть всё необходимое для комфортного проживания. Спасибо, Василиса!",positive
"Тихий район, хорошо выспались. Обязательно приедем ещё раз. Хозяин был очень вежлив и гостеприимен. Спасибо, Петр!",positive
"Wi-Fi работал стабильно и быстро. Цена полностью оправдана. Обязательно приедем ещё раз. Тихий район, хорошо выспались. Есть всё необходимое для комфортного проживания. Спасибо, Макар!",positive
"Неверно указана цена в объявлении. Очень грязно, не убрано перед заселением. Сломанный душ и неприятный запах. Кровать скрипит и неудобная. Фото не соответствуют реальности. Спасибо, Ратмир!",negative
"Wi-Fi почти не работал. Фото не соответствуют реальности. Плохая звукоизоляция, всё слышно. Соседи шумели всю ночь. Спасибо, Варфоломей!",negative
"Местоположение оставляет желать лучшего. Неверно указана цена в объявлении. Соседи шумели всю ночь. Кровать скрипит и неудобная. Фото не соответствуют реальности. Спасибо, Надежда!",negative
"Тихий район, хорошо выспались. Обязательно приедем ещё раз. Очень удобная кровать и свежие полотенца. Квартира была чистая и уютная. Цена полностью оправдана. Спасибо, Тихон!",positive
"Есть всё необходимое для комфортного проживания. Цена полностью оправдана. Отличное расположение, рядом с центром. Хозяин был очень вежлив и гостеприимен. Спасибо, Юлий!",positive
"Тихий район, хорошо выспались. Отличное расположение, рядом с центром. Спасибо, Николай!",positive
"Местоположение оставляет желать лучшего. Соседи шумели всю ночь. Кровать скрипит и неудобная. Неверно указана цена в объявлении. Хозяин не отвечал на звонки. Спасибо, Валентин!",negative
"Фото не соответствуют реальности. Соседи шумели всю ночь. Спасибо, Маргарита!",negative
"Неверно указана цена в объявлении. Фото не соответствуют реальности. Хозяин не отвечал на звонки. Wi-Fi почти не работал. Спасибо, Фортунат!",negative
"Очень удобная кровать и свежие полотенца. Хозяин был очень вежлив и гостеприимен. Обязательно приедем ещё раз. Есть всё необходимое для комфортного проживания. Квартира была чистая и уютная. Спасибо, Виктор!",positive
"Соседи шумели всю ночь. Очень грязно, не убрано перед заселением. Wi-Fi почти не работал. Плохая звукоизоляция, всё слышно. Спасибо, Потап!",negative
"Очень грязно, не убрано перед заселением. Хозяин не отвечал на звонки. Кровать скрипит и неудобная. Wi-Fi почти не работал. Сломанный душ и неприятный запах. Спасибо, Станислав!",negative
